a	17655
A	2373
b	5818
B	1472
c	15577
C	440
d	15323
D	3466
e	57217
E	4689
f	5387
F	1695
g	9529
G	2335
h	22005
H	3007
i	29833
I	2309
j	619
J	278
k	3472
K	1186
l	14626
L	1937
m	9401
M	2233
n	35846
N	1600
o	10007
O	1257
p	2288
P	1817
q	105
Q	49
r	25927
R	1866
s	21712
S	4902
t	24296
T	2400
u	13891
U	1844
v	2037
V	790
w	5274
W	2383
x	107
X	47
y	699
Y	155
z	3488
Z	662
' '	96649
CR	17635
.	3936
,	8250
etc	0
